word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
sunseeker,Sunseeker,Sunseeker,Sunseeker,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
princess,Princess,Princess,Princess,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
azimut,Azimut,Azimut,Azimut,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
ferretti,Ferretti,Ferretti,Ferretti,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
beneteau,Beneteau,Beneteau,Beneteau,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
jeanneau,Jeanneau,Jeanneau,Jeanneau,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
sea_ray,Sea Ray,Sea Ray,Sea Ray,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
boston_whaler,Boston Whaler,Boston Whaler,Boston Whaler,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
buster,Buster,Buster,Buster,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
flipper,Flipper,Flipper,Flipper,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
finnmaster,Finnmaster,Finnmaster,Finnmaster,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
galeon,Galeon,Galeon,Galeon,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
viking,Viking,Viking,Viking,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
hatteras,Hatteras,Hatteras,Hatteras,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
oceanco,Oceanco,Oceanco,Oceanco,vehicles,Vehicles,Fordon,Véhicules,at-sea,At sea,Till havs,En mer,1,seed,,true
