word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
trek,Trek,Trek,Trek,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
specialized,Specialized,Specialized,Specialized,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
giant,Giant,Giant,Giant,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
cannondale,Cannondale,Cannondale,Cannondale,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
scott,Scott,Scott,Scott,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
bianchi,Bianchi,Bianchi,Bianchi,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
pinarello,Pinarello,Pinarello,Pinarello,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
cervelo,Cervelo,Cervelo,Cervélo,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
colnago,Colnago,Colnago,Colnago,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
santacruz,Santa Cruz,Santa Cruz,Santa Cruz,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
orbea,Orbea,Orbea,Orbea,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
merida,Merida,Merida,Merida,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
kona,Kona,Kona,Kona,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
marin,Marin,Marin,Marin,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
gt,GT,GT,GT,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
fuji,Fuji,Fuji,Fuji,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
raleigh,Raleigh,Raleigh,Raleigh,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
brompton,Brompton,Brompton,Brompton,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
schwinn,Schwinn,Schwinn,Schwinn,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
cube,Cube,Cube,Cube,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
rocky_mountain,Rocky Mountain,Rocky Mountain,Rocky Mountain,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
yeti,Yeti,Yeti,Yeti,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
felt,Felt,Felt,Felt,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
diamondback,Diamondback,Diamondback,Diamondback,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
electra,Electra,Electra,Electra,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
haibike,Haibike,Haibike,Haibike,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
lapierre,Lapierre,Lapierre,Lapierre,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
mondraker,Mondraker,Mondraker,Mondraker,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
norco,Norco,Norco,Norco,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
surly,Surly,Surly,Surly,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
salsa,Salsa,Salsa,Salsa,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
dahon,Dahon,Dahon,Dahon,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
riese_muller,Riese Muller,Riese Muller,Riese Müller,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
stromer,Stromer,Stromer,Stromer,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
vanmoof,VanMoof,VanMoof,VanMoof,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
kalkhoff,Kalkhoff,Kalkhoff,Kalkhoff,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
bulls,Bulls,Bulls,Bulls,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
strom,Strom,Strom,Strom,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
gazelle,Gazelle,Gazelle,Gazelle,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
trek_fitness,Trek Fitness,Trek Fitness,Trek Fitness,vehicles,Vehicles,Fordon,Véhicules,bicycle-brands,Bicycle Brands,Cykelmärken,Marques de vélos,1,seed,,true
