word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
algiers,Algiers,Algiers,Alger,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
luanda,Luanda,Luanda,Luanda,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
porto_novo,Porto-Novo,Porto-Novo,Porto-Novo,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
gaborone,Gaborone,Gaborone,Gaborone,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
ouagadougou,Ouagadougou,Ouagadougou,Ouagadougou,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
gitega,Gitega,Gitega,Gitega,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
praia,Praia,Praia,Praia,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
yaounde,Yaounde,Yaounde,Yaoundé,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
bangui,Bangui,Bangui,Bangui,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
ndjamena,NDjamena,NDjamena,NDjamena,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
moroni,Moroni,Moroni,Moroni,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
brazzaville,Brazzaville,Brazzaville,Brazzaville,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
kinshasa,Kinshasa,Kinshasa,Kinshasa,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
yamoussoukro,Yamoussoukro,Yamoussoukro,Yamoussoukro,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
djibouti,Djibouti,Djibouti,Djibouti,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
cairo,Cairo,Cairo,Le Caire,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
malabo,Malabo,Malabo,Malabo,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
asmara,Asmara,Asmara,Asmara,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
mbabane,Mbabane,Mbabane,Mbabane,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
addis_ababa,Addis Ababa,Addis Ababa,Addis-Abeba,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
libreville,Libreville,Libreville,Libreville,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
banjul,Banjul,Banjul,Banjul,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
accra,Accra,Accra,Accra,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
conakry,Conakry,Conakry,Conakry,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
bissau,Bissau,Bissau,Bissau,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
nairobi,Nairobi,Nairobi,Nairobi,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
maseru,Maseru,Maseru,Maseru,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
monrovia,Monrovia,Monrovia,Monrovia,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
tripoli,Tripoli,Tripoli,Tripoli,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
antananarivo,Antananarivo,Antananarivo,Antananarivo,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
lilongwe,Lilongwe,Lilongwe,Lilongwe,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
bamako,Bamako,Bamako,Bamako,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
nouakchott,Nouakchott,Nouakchott,Nouakchott,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
port_louis,Port Louis,Port Louis,Port Louis,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
rabat,Rabat,Rabat,Rabat,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
maputo,Maputo,Maputo,Maputo,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
windhoek,Windhoek,Windhoek,Windhoek,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
niamey,Niamey,Niamey,Niamey,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
abuja,Abuja,Abuja,Abuja,geography,Geography,Geografi,Géographie,capital-cities-africa,Capitals of Africa,Huvudstäder i Afrika,Capitales d'Afrique,1,seed,,true
