word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
andorra_la_vella,Andorra la Vella,Andorra la Vella,Andorre-la-Vieille,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
tirana,Tirana,Tirana,Tirana,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
vienna,Vienna,Vienna,Vienne,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
minsk,Minsk,Minsk,Minsk,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
brussels,Brussels,Brussels,Bruxelles,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
sarajevo,Sarajevo,Sarajevo,Sarajevo,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
sofia,Sofia,Sofia,Sofia,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
zagreb,Zagreb,Zagreb,Zagreb,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
nicosia,Nicosia,Nicosia,Nicosie,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
prague,Prague,Prague,Prague,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
copenhagen,Copenhagen,Copenhagen,Copenhague,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
tallinn,Tallinn,Tallinn,Tallinn,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
helsinki,Helsinki,Helsinki,Helsinki,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
paris,Paris,Paris,Paris,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
berlin,Berlin,Berlin,Berlin,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
athens,Athens,Athens,Athènes,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
budapest,Budapest,Budapest,Budapest,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
reykjavik,Reykjavik,Reykjavik,Reykjavik,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
dublin,Dublin,Dublin,Dublin,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
rome,Rome,Rome,Rome,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
pristina,Pristina,Pristina,Pristina,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
riga,Riga,Riga,Riga,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
vaduz,Vaduz,Vaduz,Vaduz,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
vilnius,Vilnius,Vilnius,Vilnius,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
luxembourg,Luxembourg,Luxembourg,Luxembourg,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
valletta,Valletta,Valletta,La Valette,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
chisinau,Chisinau,Chisinau,Chisinau,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
monaco,Monaco,Monaco,Monaco,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
podgorica,Podgorica,Podgorica,Podgorica,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
amsterdam,Amsterdam,Amsterdam,Amsterdam,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
skopje,Skopje,Skopje,Skopje,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
oslo,Oslo,Oslo,Oslo,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
warsaw,Warsaw,Warsaw,Varsovie,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
lisbon,Lisbon,Lisbon,Lisbonne,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
bucharest,Bucharest,Bucharest,Bucarest,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
moscow,Moscow,Moscow,Moscou,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
san_marino,San Marino,San Marino,Saint-Marin,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
belgrade,Belgrade,Belgrade,Belgrade,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
bratislava,Bratislava,Bratislava,Bratislava,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
ljubljana,Ljubljana,Ljubljana,Ljubljana,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
madrid,Madrid,Madrid,Madrid,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
stockholm,Stockholm,Stockholm,Stockholm,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
bern,Bern,Bern,Berne,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
ankara,Ankara,Ankara,Ankara,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
kyiv,Kyiv,Kyiv,Kiev,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
london,London,London,Londres,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
vatican_city,Vatican City,Vatican City,Cité du Vatican,geography,Geography,Geografi,Géographie,capital-cities-europe,Capitals of Europe,Huvudstäder i Europa,Capitales d'Europe,1,seed,,true
