word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
kabul,Kabul,Kabul,Kabul,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
tirana,Tirana,Tirana,Tirana,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
algiers,Algiers,Algiers,Alger,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
andorra_la_vella,Andorra la Vella,Andorra la Vella,Andorre-la-Vieille,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
luanda,Luanda,Luanda,Luanda,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
st_john_s,St Johns,St Johns,St Johns,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
buenos_aires,Buenos Aires,Buenos Aires,Buenos Aires,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
yerevan,Yerevan,Yerevan,Erevan,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
canberra,Canberra,Canberra,Canberra,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
vienna,Vienna,Wien,Vienne,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
baku,Baku,Baku,Bakou,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
nassau,Nassau,Nassau,Nassau,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
manama,Manama,Manama,Manama,geography,Geography,Geografi,Géographie,capital-cities,Capital cities,Huvudstäder,Capitales,1,seed,,true
