word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
volvo,Volvo,Volvo,Volvo,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
saab,Saab,Saab,Saab,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
ford,Ford,Ford,Ford,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
chevrolet,Chevrolet,Chevrolet,Chevrolet,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
cadillac,Cadillac,Cadillac,Cadillac,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
gmc,GMC,GMC,GMC,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
chrysler,Chrysler,Chrysler,Chrysler,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
dodge,Dodge,Dodge,Dodge,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
jeep,Jeep,Jeep,Jeep,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
ram,RAM,RAM,RAM,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
toyota,Toyota,Toyota,Toyota,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
honda_car,Honda,Honda,Honda,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
nissan,Nissan,Nissan,Nissan,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
mazda,Mazda,Mazda,Mazda,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
subaru,Subaru,Subaru,Subaru,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
mitsubishi,Mitsubishi,Mitsubishi,Mitsubishi,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
isuzu,Isuzu,Isuzu,Isuzu,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
kia,Kia,Kia,Kia,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
hyundai,Hyundai,Hyundai,Hyundai,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
lexus,Lexus,Lexus,Lexus,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
acura,Acura,Acura,Acura,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
infiniti,Infiniti,Infiniti,Infiniti,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
genesis,Genesis,Genesis,Genesis,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
bmw,BMW,BMW,BMW,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
mercedes,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
audi,Audi,Audi,Audi,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
volkswagen,Volkswagen,Volkswagen,Volkswagen,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
opel,Opel,Opel,Opel,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
vauxhall,Vauxhall,Vauxhall,Vauxhall,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
mini,MINI,MINI,MINI,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
fiat,Fiat,Fiat,Fiat,vehicles,Vehicles,Fordon,Véhicules,car-brands,Car Brands,Bilmärken,Marques de voitures,1,seed,,true
