word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
stockholm,Stockholm,Stockholm,Stockholm,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
gothenburg,Gothenburg,Göteborg,Göteborg,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
malmo,Malmo,Malmö,Malmö,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
uppsala,Uppsala,Uppsala,Uppsala,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
vasteras,Vasteras,Västerås,Västerås,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
orebro,Orebro,Örebro,Örebro,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
linkoping,Linkoping,Linköping,Linköping,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
helsingborg,Helsingborg,Helsingborg,Helsingborg,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
jonkoping,Jonkoping,Jönköping,Jönköping,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
norrkoping,Norrkoping,Norrköping,Norrköping,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
lund,Lund,Lund,Lund,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
umea,Umea,Umeå,Umeå,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
gavle,Gavle,Gävle,Gävle,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
boras,Boras,Borås,Borås,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
sundsvall,Sundsvall,Sundsvall,Sundsvall,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
halmstad,Halmstad,Halmstad,Halmstad,geography,Geography,Geografi,Géographie,cities-sweden,Cities in Sweden,Städer i Sverige,Villes de Suède,1,seed,,true
