word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
algeria,Algeria,Algeriet,Algérie,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
angola,Angola,Angola,Angola,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
benin,Benin,Benin,Bénin,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
botswana,Botswana,Botswana,Botswana,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
burkina-faso,Burkina Faso,Burkina Faso,Burkina Faso,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
burundi,Burundi,Burundi,Burundi,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
cabo-verde,Cabo Verde,Kap Verde,Cap-Vert,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
cameroon,Cameroon,Kamerun,Cameroun,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
central-african-republic,Central African Republic,Centralafrikanska republiken,République centrafricaine,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
chad,Chad,Tchad,Tchad,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
comoros,Comoros,Komorerna,Comores,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
congo,Republic of the Congo,Kongo-Brazzaville,République du Congo,geography,Geography,Geografi,Géographie,countries-africa,Countries in Africa,Länder i Afrika,Pays d'Afrique,1,seed,,true
