word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
afghanistan,Afghanistan,Afghanistan,Afghanistan,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
albania,Albania,Albanien,Albanie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
algeria,Algeria,Algeriet,Algérie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
andorra,Andorra,Andorra,Andorre,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
angola,Angola,Angola,Angola,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
antigua_and_barbuda,Antigua and Barbuda,Antigua och Barbuda,Antigua-et-Barbuda,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
argentina,Argentina,Argentina,Argentine,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
armenia,Armenia,Armenien,Arménie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
australia,Australia,Australien,Australie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
austria,Austria,Österrike,Autriche,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
azerbaijan,Azerbaijan,Azerbajdzjan,Azerbaidjan,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bahamas,Bahamas,Bahamas,Bahamas,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bahrain,Bahrain,Bahrain,Bahrein,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bangladesh,Bangladesh,Bangladesh,Bangladesh,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
barbados,Barbados,Barbados,Barbade,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
belarus,Belarus,Vitryssland,Biélorussie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
belgium,Belgium,Belgien,Belgique,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
belize,Belize,Belize,Belize,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
benin,Benin,Benin,Bénin,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bhutan,Bhutan,Bhutan,Bhoutan,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bolivia,Bolivia,Bolivia,Bolivie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bosnia_and_herzegovina,Bosnia and Herzegovina,Bosnien och Hercegovina,Bosnie-Herzégovine,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
botswana,Botswana,Botswana,Botswana,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
brazil,Brazil,Brasilien,Brésil,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
brunei,Brunei,Brunei,Brunei,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
bulgaria,Bulgaria,Bulgarien,Bulgarie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
burkina_faso,Burkina Faso,Burkina Faso,Burkina Faso,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
burundi,Burundi,Burundi,Burundi,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
cabo_verde,Cabo Verde,Cabo Verde,Cap-Vert,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
cambodia,Cambodia,Kambodja,Cambodge,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
cameroon,Cameroon,Kamerun,Cameroun,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
canada,Canada,Kanada,Canada,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
central_african_republic,Central African Republic,Centralafrikanska republiken,République centrafricaine,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
chad,Chad,Tchad,Tchad,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
chile,Chile,Chile,Chili,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
china,China,Kina,Chine,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
colombia,Colombia,Colombia,Colombie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
comoros,Comoros,Komorerna,Comores,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
congo_republic,Congo,Kongo,Congo,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
costa_rica,Costa Rica,Costa Rica,Costa Rica,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
cote_divoire,Cote Divoire,Ivory Coast,Côte dIvoire,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
croatia,Croatia,Kroatien,Croatie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
cuba,Cuba,Cuba,Cuba,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
cyprus,Cyprus,Cypern,Chypre,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
czechia,Czechia,Tjeckien,Tchéquie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
denmark,Denmark,Danmark,Danemark,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
djibouti,Djibouti,Djibouti,Djibouti,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
dominica,Dominica,Dominica,Dominique,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
dominican_republic,Dominican Republic,Dominikanska republiken,République dominicaine,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
ecuador,Ecuador,Ecuador,Équateur,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
egypt,Egypt,Egypten,Égypte,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
el_salvador,El Salvador,El Salvador,Salvador,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
equatorial_guinea,Equatorial Guinea,Ekvatorialguinea,Guinée équatoriale,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
eritrea,Eritrea,Eritrea,Érythrée,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
estonia,Estonia,Estland,Estonie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
eswatini,Eswatini,Eswatini,Eswatini,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
ethiopia,Ethiopia,Etiopien,Éthiopie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
fiji,Fiji,Fiji,Fidji,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
finland,Finland,Finland,Finlande,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
france,France,Frankrike,France,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
gabon,Gabon,Gabon,Gabon,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
gambia,Gambia,Gambia,Gambie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
georgia,Georgia,Georgien,Géorgie,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
germany,Germany,Tyskland,Allemagne,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
ghana,Ghana,Ghana,Ghana,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
greece,Greece,Grekland,Grèce,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
grenada,Grenada,Grenada,Grenade,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
guatemala,Guatemala,Guatemala,Guatemala,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
guinea,Guinea,Guinea,Guinée,geography,Geography,Geografi,Géographie,countries,Countries,Länder,Pays,1,seed,,true
