word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
hand,HAND,HAND,MAIN,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
foot,FOOT,FOT,PIED,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
head,HEAD,HUVUD,TÊTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
arm,ARM,ARM,BRAS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
leg,LEG,BEN,JAMBE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
eyes,EYES,ÖGON,YEUX,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
ear,EAR,ÖRA,OREILLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
nose,NOSE,NÄSA,NEZ,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
mouth,MOUTH,MUN,BOUCHE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
tooth,TOOTH,TAND,DENT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
tongue,TONGUE,TUNGA,LANGUE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
hair,HAIR,HÅR,CHEVEUX,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
neck,NECK,HALS,COU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
back,BACK,RYGG,DOS,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
chest,CHEST,BRÖST,POITRINE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
heart,HEART,HJÄRTA,COEUR,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
lung,LUNG,LUNGA,POUMON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
liver,LIVER,LEVER,FOIE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
brain,BRAIN,HJÄRNA,CERVEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
skin,SKIN,HUD,PEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
blood,BLOOD,BLOD,SANG,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
finger,FINGER,FINGER,DOIGT,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
thumb,THUMB,TUMME,POUCE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
knee,KNEE,KNÄ,GENOU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
elbow,ELBOW,ARMBÅGE,COUDE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
shoulder,SHOULDER,AXEL,ÉPAULE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
cheek,CHEEK,KIND,JOUE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
chin,CHIN,HAKA,MENTON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
lip,LIP,LÄPP,LÈVRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
nail,NAIL,NAGEL,ONGLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
heel,HEEL,HÄL,TALON,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,body,Body,Kroppsdelar,Corps,1,seed,,true
