word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
fork,FORK,GAFFEL,FOURCHETTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
knife,KNIFE,KNIV,COUTEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
spoon,SPOON,SKED,CUILLÈRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
plate,PLATE,TALLRIK,ASSIETTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
glass,GLASS,GLAS,VERRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
cup,CUP,KOPP,TASSE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
bowl,BOWL,SKÅL,BOL,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
pot,POT,GRYTA,MARMITE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
pan,PAN,PANNA,POÊLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
oven,OVEN,UGN,FOUR,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
stove,STOVE,SPIS,CUISINIÈRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
fridge,FRIDGE,KYLSKÅP,FRIGO,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
freezer,FREEZER,FRYS,CONGÉLATEUR,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
kettle,KETTLE,VATTENKOKARE,BOUILLOIRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
toaster,TOASTER,BRÖDROST,GRILLE-PAIN,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
whisk,WHISK,VISP,FOUET,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
ladle,LADLE,SLEV,LOUCHE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
grater,GRATER,RIVJÄRN,RÂPE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
sieve,SIEVE,SIL,PASSOIRE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
tray,TRAY,BRICKA,PLATEAU,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
apron,APRON,FÖRKLÄDE,TABLIER,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
napkin,NAPKIN,SERVETT,SERVIETTE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
table,TABLE,BORD,TABLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
chair,CHAIR,STOL,CHAISE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
sink,SINK,DISKHO,ÉVIER,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
tap,TAP,KRAN,ROBINET,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
jar,JAR,BURK,BOCAL,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
lid,LID,LOCK,COUVERCLE,hydrocarbons,Hydrocarbons,Kolväten,Hydrocarbures,kitchen,Kitchen,Kök,Cuisine,1,seed,,true
