word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
honda,Honda,Honda,Honda,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
yamaha,Yamaha,Yamaha,Yamaha,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
suzuki,Suzuki,Suzuki,Suzuki,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
kawasaki,Kawasaki,Kawasaki,Kawasaki,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
ducati,Ducati,Ducati,Ducati,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
bmw,BMW,BMW,BMW,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
triumph,Triumph,Triumph,Triumph,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
ktm,KTM,KTM,KTM,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
harley_davidson,Harley-Davidson,Harley-Davidson,Harley-Davidson,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
indian,Indian,Indian,Indian,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
royal_enfield,Royal Enfield,Royal Enfield,Royal Enfield,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
aprilia,Aprilia,Aprilia,Aprilia,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
mv_agusta,MV Agusta,MV Agusta,MV Agusta,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
husqvarna,Husqvarna,Husqvarna,Husqvarna,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
gasgas,GasGas,GasGas,GasGas,vehicles,Vehicles,Fordon,Véhicules,motorcycle_brands,Motorcycle Brands,Motorcykelmärken,Marques de motos,1,seed,,true
