word_native,word_en,word_sv,word_fr,category_name_native,category_name_en,category_name_sv,category_name_fr,subcategory_name_native,subcategory_name_en,subcategory_name_sv,subcategory_name_fr,difficulty,source,created_by,is_active
akerby_lopperstad,Akerby-Lopperstad,Åkerby-Lopperstad,Åkerby-Lopperstad,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
alboke,Alboke,Alböke,Alböke,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
albrunna,Albrunna,Albrunna,Albrunna,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
alby,Alby,Alby,Alby,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
aleklinta,Aleklinta,Äleklinta,Äleklinta,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
algutsrum,Algutsrum,Algutsrum,Algutsrum,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
alvlosa,Alvlosa,Alvlösa,Alvlösa,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
arbelunda,Arbelunda,Arbelunda,Arbelunda,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
arontorp,Arontorp,Arontorp,Arontorp,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
as,As,Ås,Ås,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
askelunda,Askelunda,Askelunda,Askelunda,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
astad,Astad,Åstad,Åstad,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
bagby,Bagby,Bägby,Bägby,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
barby,Barby,Bårby,Bårby,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
binnerback,Binnerback,Binnerbäck,Binnerbäck,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
bjorkviken,Bjorkviken,Björkviken,Björkviken,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
blasinge_borgholm,Blasinge,Bläsinge,Bläsinge,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
blasinge_morbylanga,Blasinge,Bläsinge,Bläsinge,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
boda,Boda,Böda,Böda,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
borgehage,Borgehage,Borgehage,Borgehage,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
borgholm,Borgholm,Borgholm,Borgholm,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
bredinge,Bredinge,Bredinge,Bredinge,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
bredsattra,Bredsattra,Bredsättra,Bredsättra,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
brottorp,Brottorp,Bröttorp,Bröttorp,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
byrum,Byrum,Byrum,Byrum,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
byxelkrok,Byxelkrok,Byxelkrok,Byxelkrok,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
dalby,Dalby,Dalby,Dalby,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
degerhamn,Degerhamn,Degerhamn,Degerhamn,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
djupvik,Djupvik,Djupvik,Djupvik,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
djurstad,Djurstad,Djurstad,Djurstad,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
dodevi,Dodevi,Dödevi,Dödevi,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
dorby,Dorby,Dörby,Dörby,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
egby,Egby,Egby,Egby,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
eketorp,Eketorp,Eketorp,Eketorp,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
enerum,Enerum,Enerum,Enerum,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
eriksore,Eriksore,Eriksöre,Eriksöre,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
fagerum,Fagerum,Fagerum,Fagerum,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
farjestaden,Farjestaden,Färjestaden,Färjestaden,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
fora,Fora,Föra,Föra,geography,Geography,Geografi,Géographie,villages-öland,Villages on Öland,Byar på Öland,Villages d'Öland,1,seed,,true
